#;Hotel Name;Country;Price of the cheapest room;Link;
1;Bristol Panama;Panama;229.00 USD;http://www.lhw.com/hotel/Bristol-Panama-Panama-City-Panama/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD; 
2;Tabacon Grand Spa Thermal Resort;Costa Rica;no rooms av;http://www.lhw.com/hotel/Tabacon-Grand-Spa-Thermal-Resort-La-Fortuna-Costa-Rica/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD; 
