#;Hotel Name;Country;Price of the cheapest room;Link;Comment
29;Market Pavilion Hotel;United States;422.00 USD;http://www.lhw.com/hotel/Market-Pavilion-Hotel-Charleston-SC/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
30;The Royal Hideaway Playacar;Mexico;406.00 USD;http://www.lhw.com/hotel/The-Royal-Hideaway-Playacar-Playa-del-Carmen-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
31;H?tel Le St-James;Canada;367.29 USD;http://www.lhw.com/hotel/Hotel-Le-St-James-Montreal-QC/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
32;The Hazelton Hotel Toronto;Canada;363.61 USD;http://www.lhw.com/hotel/The-Hazelton-Hotel-Toronto-Toronto-ON/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
33;Grand Residences Riviera Cancun;Mexico;353.00 USD;http://www.lhw.com/hotel/Grand-Residences-Riviera-Cancun-Puerto-Morelos-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
34;Mr. C Beverly Hills;United States;341.00 USD;http://www.lhw.com/hotel/Mr-C-Beverly-Hills-Los-Angeles-CA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
35;The Umstead Hotel and Spa;United States;322.00 USD;http://www.lhw.com/hotel/The-Umstead-Hotel-and-Spa-Cary-NC/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
36;Hotel Granduca;United States;292.50 USD;http://www.lhw.com/hotel/Hotel-Granduca-Houston-TX/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
37;The Biltmore;United States;290.00 USD;http://www.lhw.com/hotel/The-Biltmore-Coral-Gables-FL/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
38;Bellagio Towers;United States;279.00 USD;http://www.lhw.com/hotel/Bellagio-Towers-Las-Vegas-NV/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
39;Whiteface Lodge;United States;277.00 USD;http://www.lhw.com/hotel/Whiteface-Lodge-Lake-Placid-NY/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
40;Hutton Hotel;United States;269.00 USD;http://www.lhw.com/hotel/Hutton-Hotel-Nashville-TN/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
41;Presidente InterContinental Cozumel Resort & Spa;Mexico;218.00 USD;http://www.lhw.com/hotel/Presidente-InterContinental-Cozumel-Resort-Spa-Cozumel-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
42;Hotel Madeline Telluride;United States;209.25 USD;http://www.lhw.com/hotel/Hotel-Madeline-Telluride-Telluride-CO/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
43;Marquis Reforma Hotel & Spa;Mexico;186.15 USD;http://www.lhw.com/hotel/Marquis-Reforma-Hotel-Spa-Mexico-City-Mexico/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
44;Sonnenalp Hotel;United States;180.00 USD;http://www.lhw.com/hotel/Sonnenalp-Hotel-Vail-CO/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
45;Le Pavillon Hotel;United States;179.00 USD;http://www.lhw.com/hotel/Le-Pavillon-Hotel-New-Orleans-LA/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
46;The Knickerbocker;United States;no rooms av;http://www.lhw.com/hotel/The-Knickerbocker-New-York-NY;        
