#;Hotel Name;Country;Price of the cheapest room;Link;Comment
1;Laucala Island Resort;French Polynesia;4,200.00 USD;http://www.lhw.com/hotel/Laucala-Island-Resort-Laucala-Island-Fiji/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
2;Emirates Wolgan Valley Resort & Spa;Australia;1,916.78 USD;http://www.lhw.com/hotel/Emirates-Wolgan-Valley-Resort-Spa-Lithgow-Australia/select-room?indate=20141002&outdate=20141003&rooms=1&numadult1=2&numchild1=0&cur=USD;2-3 Oct
3;One&Only Hayman Island;Australia;682.56 USD;http://www.lhw.com/hotel/One-and-Only-Hayman-Island-Great-Barrier-Reef-Australia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
4;Bora Bora Pearl Beach Resort & Spa;Fiji;604.66 USD;http://www.lhw.com/hotel/Bora-Bora-Pearl-Beach-Resort-Spa-Bora-Bora-French-Polynesia/select-room?indate=20141002&outdate=20141003&rooms=1&numadult1=2&numchild1=0&cur=USD;2-3 Oct
5;BLUE Sydney – A Taj Hotel;Australia;282.37 USD;http://www.lhw.com/hotel/BLUE-Sydney-A-Taj-Hotel-Sydney-Australia/select-room?indate=20141001&outdate=20141002&rooms=1&numadult1=2&numchild1=0&cur=USD;        
